,No. of Robots : 1,,,,,,,
Item No.,PART,Specification/ Unit,TYPE,MANUFACTURER, Mfg. Product No. / SKU,Source,Total Quantity Required,Additional Notes
Motor Module,,,,,,,,
163,Black-Oxide Alloy Steel Hex Drive FHCS," M5 x 0.80 mm Thread, 40 mm Long",Hardware,McMaster,91294A219,McMaster,4,Pack of 50
164,Zinc-Plated Alloy Steel Hex Drive SHCS,"M2 x 0.4 mm Thread, 5 mm Long",Hardware,McMaster,90128A177,McMaster,8,Pack of 100
165,Zinc-Plated Alloy Steel Hex DriveSHCS,"M2 x 0.4 mm Thread, 6 mm Long",Hardware,McMaster,90128A178,McMaster,20,Pack of 100
166,Zinc-Plated Alloy  Hex Drive Steel SHCS,"M2 x 0.4 mm Thread, 8 mm Long",Hardware,McMaster,90128A179,McMaster,15,Pack of 100
167,Zinc-Plated Alloy Hex Drive Steel SHCS,"M4 x 0.7 mm Thread, 20 mm Long
",Hardware,McMaster,90128A216,McMaster,,Pack of 100
168,Black Oxide Alloy Hex Drive Steel SHCS,"M2.5 x 0.45 mm Thread, 5 mm Long",Hardware,McMaster,91290A100,McMaster,16,Pack of 50
169,Black Oxide Alloy  Hex Drive Steel SHCS,"M2.5 x 0.45 mm Thread, 12 mm Long",Hardware,McMaster,91290A104,McMaster,4,Pack of 100
170,Black Oxide Alloy Steel  Hex Drive SHCS,"M2.5 x 0.45 mm Thread, 16 mm Long",Hardware,McMaster,91290A106,McMaster,6,Pack of 50
171,Black Oxide Alloy Steel Hex Drive SHCS,"M2 x 0.4 mm Thread, 5 mm Long",Hardware,McMaster,91290A012,McMaster,10,Pack of 100
172,Black Oxide Alloy Steel Hex Drive  SHCS,"M2 x 0.4 mm Thread, 16 mm Long",Hardware,McMaster,91290A047,McMaster,3,Pack of 100
173,Black Oxide Alloy Steel Hex Drive SHCS,"M3 x 0.5 mm Thread, 6 mm Long",Hardware,McMaster,91290A111,McMaster,148,2x Pack of 100
174,Black Oxide Alloy Hex Drive Steel SHCS,"M3 x 0.5 mm Thread, 8 mm Long",Hardware,McMaster,91290A113,McMaster,43,Pack of 100
175,Black Oxide Alloy Steel Hex Drive SHCS,"M3 x 0.5 mm Thread, 10 mm Long",Hardware,McMaster,91290A115,McMaster,76,Pack of 100
176,Black Oxide Alloy Steel Hex Drive SHCS,"M3 x 0.5 mm Thread, 12 mm Long",Hardware,McMaster,91290A117,McMaster,81,Pack of 100
177,Black Oxide Alloy Steel Hex Drive SHCS,"M3 x 0.5 mm Thread, 20 mm Long",Hardware,McMaster,91290A123,McMaster,19,Pack of 100
178,Black Oxide Alloy Steel Hex Drive SHCS,"M4 x 0.7 mm Thread, 8 mm Long",Hardware,McMaster,91290A140,McMaster,78,Pack of 100
179,Black Oxide Alloy Steel Hex Drive SHCS,"M4 x 0.7 mm Thread, 16 mm Long",Hardware,McMaster,91290A154,McMaster,8,Pack of 100
180,Black-Oxide 18-8 Stainless Steel Hex Drive BHCS,"M4 x 0.70 mm Thread, 16 mm Long",Hardware,McMaster,97763A425,McMaster,16,2x Pack of 10
181,Black-Oxide Alloy Steel Hex Drive BHCS,"M4 x 0.70 mm Thread, 20 mm Long",Hardware,McMaster,91239A152,McMaster,6,Pack of 100
182,Nylon PH Phillips Screws,"M2 x 0.40 mm Thread, 10mm Long",Hardware,McMaster,92492A705,McMaster,36,Pack of 100
183,Nylon PH Phillips Screws,"M3 x 0.50 mm Thread, 12mm",Hardware,McMaster,92492A719,McMaster,36,Pack of 100
184,Nylon Plastic Hex Drive SHCS,"M3 x 0.5 mm Thread, 6 mm Long",Hardware,McMaster,93640A142,McMaster,12,Pack of 100
185,Blue-Dyed Zinc-Plated Alloy Steel  Hex Drive SHCS,"M3 x 0.5 mm Thread, 8 mm Long",Hardware,McMaster,91502A103,McMaster,21,Pack of 100
186,Black-Oxide Alloy Steel Hex Drive FHCS,"M4 x 0.70 mm Thread, 20 mm Long",Hardware,McMaster,91294A196,McMaster,10,Pack of 100
187,"18-8 Stainless Steel Nylon-Insert Locknut
",M2 x 0.4 mm Thread,Hardware,McMaster,93625A101,McMaster,3,Pack of 10
188,Black-Oxide 18-8 Stainless Steel Nylon-Insert Locknut,M3 x 0.5 Thread,Hardware,McMaster,93625A223,McMaster,12,2x Pack of 10
189,Zinc-Plated Steel Washer,"M2 Screw Size, 2.200 mm ID, 4.500 mm OD",Hardware,McMaster,98688A110,McMaster,8,Pack of 100
190,Zinc-Plated Steel Square Nut,M4 x 0.7 mm Thread,Hardware,McMaster,96887A118,McMaster,4,Pack of 25
191,18-8 Stainless Steel Dowel Pin,3 x 5mm,Hardware,McMaster,91585A334,McMaster,36,Pack of 50
192,Brass Tapered Heat-Set Inserts,"M3 x 0.5 mm Thread, 3.8 mm Long",Hardware,McMaster,94180A331,McMaster,10,Pack of 100
193,Brass Tapered Heat-Set Inserts,"M4 x 0.7 mm Thread , 4.7 mm Lonth",Hardware,McMaster,94180A351,McMaster,14,Pack of 100
194,"Threadlocker, Loctite® 243",,Hardware,McMaster,91458A116,McMaster,1,
195,"Threadlocker, Loctite® 245",,Hardware,McMaster,91458A370,McMaster,1,
196,"Threadlocker, Loctite® 262",,Hardware,McMaster,91458A180,McMaster,1,
